Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, TOTAL, January 2019, Percentage, 3.3
Total, TOTAL, February 2019, Percentage, 3.3
Total, TOTAL, March 2019, Percentage, 3.2
Total, TOTAL, April 2019, Percentage, 3
Total, TOTAL, May 2019, Percentage, 2.9
Total, TOTAL, June 2019, Percentage, 3
Total, TOTAL, July 2019, Percentage, 3
Total, TOTAL, August 2019, Percentage, 3
Total, TOTAL, September 2019, Percentage, 3
Total, TOTAL, October 2019, Percentage, 3
Total, TOTAL, November 2019, Percentage, 3
Total, TOTAL, December 2019, Percentage, 2.9
Total, TOTAL, January 2020, Percentage, 3
Total, TOTAL, February 2020, Percentage, 2.9
Total, TOTAL, March 2020, Percentage, 2.9
Total, TOTAL, April 2020, Percentage, 2.9
Total, TOTAL, May 2020, Percentage, 2.9
Total, TOTAL, June 2020, Percentage, 3
Total, TOTAL, July 2020, Percentage, 3.2
Total, TOTAL, August 2020, Percentage, 3.3
Total, TOTAL, September 2020, Percentage, 3.3
Total, TOTAL, October 2020, Percentage, 3.3
Total, TOTAL, November 2020, Percentage, 3.3
Total, TOTAL, December 2020, Percentage, 3.4
Total, MACROREGION 1, January 2019, Percentage, 2.5
Total, MACROREGION 1, February 2019, Percentage, 2.5
Total, MACROREGION 1, March 2019, Percentage, 2.4
Total, MACROREGION 1, April 2019, Percentage, 2.3
Total, MACROREGION 1, May 2019, Percentage, 2.3
Total, MACROREGION 1, June 2019, Percentage, 2.3
Total, MACROREGION 1, July 2019, Percentage, 2.3
Total, MACROREGION 1, August 2019, Percentage, 2.3
Total, MACROREGION 1, September 2019, Percentage, 2.3
Total, MACROREGION 1, October 2019, Percentage, 2.3
Total, MACROREGION 1, November 2019, Percentage, 2.3
Total, MACROREGION 1, December 2019, Percentage, 2.3
Total, MACROREGION 1, January 2020, Percentage, 2.3
Total, MACROREGION 1, February 2020, Percentage, 2.3
Total, MACROREGION 1, March 2020, Percentage, 2.3
Total, MACROREGION 1, April 2020, Percentage, 2.3
Total, MACROREGION 1, May 2020, Percentage, 2.3
Total, MACROREGION 1, June 2020, Percentage, 2.4
Total, MACROREGION 1, July 2020, Percentage, 2.8
Total, MACROREGION 1, August 2020, Percentage, 2.8
Total, MACROREGION 1, September 2020, Percentage, 2.9
Total, MACROREGION 1, October 2020, Percentage, 2.9
Total, MACROREGION 1, November 2020, Percentage, 2.9
Total, MACROREGION 1, December 2020, Percentage, 2.9
Total, NORTH - WEST, January 2019, Percentage, 2.3
Total, NORTH - WEST, February 2019, Percentage, 2.2
Total, NORTH - WEST, March 2019, Percentage, 2.2
Total, NORTH - WEST, April 2019, Percentage, 2.1
Total, NORTH - WEST, May 2019, Percentage, 2.1
Total, NORTH - WEST, June 2019, Percentage, 2.1
Total, NORTH - WEST, July 2019, Percentage, 2.1
Total, NORTH - WEST, August 2019, Percentage, 2.1
Total, NORTH - WEST, September 2019, Percentage, 2.3
Total, NORTH - WEST, October 2019, Percentage, 2
Total, NORTH - WEST, November 2019, Percentage, 2.1
Total, NORTH - WEST, December 2019, Percentage, 2
Total, NORTH - WEST, January 2020, Percentage, 2.1
Total, NORTH - WEST, February 2020, Percentage, 2
Total, NORTH - WEST, March 2020, Percentage, 2
Total, NORTH - WEST, April 2020, Percentage, 2.1
Total, NORTH - WEST, May 2020, Percentage, 2.1
Total, NORTH - WEST, June 2020, Percentage, 2.2
Total, NORTH - WEST, July 2020, Percentage, 2.5
Total, NORTH - WEST, August 2020, Percentage, 2.6
Total, NORTH - WEST, September 2020, Percentage, 2.6
Total, NORTH - WEST, October 2020, Percentage, 2.6
Total, NORTH - WEST, November 2020, Percentage, 2.6
Total, NORTH - WEST, December 2020, Percentage, 2.6
Total, Bihor, January 2019, Percentage, 1.4
Total, Bihor, February 2019, Percentage, 1.2
Total, Bihor, March 2019, Percentage, 1.2
Total, Bihor, April 2019, Percentage, 1.2
Total, Bihor, May 2019, Percentage, 1.2
Total, Bihor, June 2019, Percentage, 1.3
Total, Bihor, July 2019, Percentage, 1.3
Total, Bihor, August 2019, Percentage, 1.4
Total, Bihor, September 2019, Percentage, 1.3
Total, Bihor, October 2019, Percentage, 1.3
Total, Bihor, November 2019, Percentage, 1.4
Total, Bihor, December 2019, Percentage, 1.4
Total, Bihor, January 2020, Percentage, 1.5
Total, Bihor, February 2020, Percentage, 1.5
Total, Bihor, March 2020, Percentage, 1.6
Total, Bihor, April 2020, Percentage, 1.6
Total, Bihor, May 2020, Percentage, 1.6
Total, Bihor, June 2020, Percentage, 1.6
Total, Bihor, July 2020, Percentage, 2
Total, Bihor, August 2020, Percentage, 2
Total, Bihor, September 2020, Percentage, 2
Total, Bihor, October 2020, Percentage, 2.1
Total, Bihor, November 2020, Percentage, 2.2
Total, Bihor, December 2020, Percentage, 2.3
Total, Bistrita-Nasaud, January 2019, Percentage, 3.2
Total, Bistrita-Nasaud, February 2019, Percentage, 3.1
Total, Bistrita-Nasaud, March 2019, Percentage, 3
Total, Bistrita-Nasaud, April 2019, Percentage, 2.7
Total, Bistrita-Nasaud, May 2019, Percentage, 2.6
Total, Bistrita-Nasaud, June 2019, Percentage, 2.5
Total, Bistrita-Nasaud, July 2019, Percentage, 2.5
Total, Bistrita-Nasaud, August 2019, Percentage, 2.5
Total, Bistrita-Nasaud, September 2019, Percentage, 2.5
Total, Bistrita-Nasaud, October 2019, Percentage, 2.6
Total, Bistrita-Nasaud, November 2019, Percentage, 2.5
Total, Bistrita-Nasaud, December 2019, Percentage, 2.6
Total, Bistrita-Nasaud, January 2020, Percentage, 2.7
Total, Bistrita-Nasaud, February 2020, Percentage, 2.7
Total, Bistrita-Nasaud, March 2020, Percentage, 2.5
Total, Bistrita-Nasaud, April 2020, Percentage, 2.6
Total, Bistrita-Nasaud, May 2020, Percentage, 2.4
Total, Bistrita-Nasaud, June 2020, Percentage, 2.6
Total, Bistrita-Nasaud, July 2020, Percentage, 3
Total, Bistrita-Nasaud, August 2020, Percentage, 3.1
Total, Bistrita-Nasaud, September 2020, Percentage, 3.2
Total, Bistrita-Nasaud, October 2020, Percentage, 3.2
Total, Bistrita-Nasaud, November 2020, Percentage, 3.2
Total, Bistrita-Nasaud, December 2020, Percentage, 3.4
Total, Cluj, January 2019, Percentage, 1.3
Total, Cluj, February 2019, Percentage, 1.3
Total, Cluj, March 2019, Percentage, 1.3
Total, Cluj, April 2019, Percentage, 1.2
Total, Cluj, May 2019, Percentage, 1.3
Total, Cluj, June 2019, Percentage, 1.2
Total, Cluj, July 2019, Percentage, 1.3
Total, Cluj, August 2019, Percentage, 1.3
Total, Cluj, September 2019, Percentage, 1.3
Total, Cluj, October 2019, Percentage, 1.3
Total, Cluj, November 2019, Percentage, 1.3
Total, Cluj, December 2019, Percentage, 1.2
Total, Cluj, January 2020, Percentage, 1.2
Total, Cluj, February 2020, Percentage, 1.2
Total, Cluj, March 2020, Percentage, 1.2
Total, Cluj, April 2020, Percentage, 1.3
Total, Cluj, May 2020, Percentage, 1.3
Total, Cluj, June 2020, Percentage, 1.5
Total, Cluj, July 2020, Percentage, 1.7
Total, Cluj, August 2020, Percentage, 1.8
Total, Cluj, September 2020, Percentage, 1.8
Total, Cluj, October 2020, Percentage, 1.7
Total, Cluj, November 2020, Percentage, 1.6
Total, Cluj, December 2020, Percentage, 1.6
Total, Maramures, January 2019, Percentage, 3.2
Total, Maramures, February 2019, Percentage, 3.2
Total, Maramures, March 2019, Percentage, 3.2
Total, Maramures, April 2019, Percentage, 3.1
Total, Maramures, May 2019, Percentage, 3.1
Total, Maramures, June 2019, Percentage, 3.2
Total, Maramures, July 2019, Percentage, 3.2
Total, Maramures, August 2019, Percentage, 3.3
Total, Maramures, September 2019, Percentage, 2.9
Total, Maramures, October 2019, Percentage, 2.8
Total, Maramures, November 2019, Percentage, 2.8
Total, Maramures, December 2019, Percentage, 2.6
Total, Maramures, January 2020, Percentage, 2.5
Total, Maramures, February 2020, Percentage, 2.3
Total, Maramures, March 2020, Percentage, 2.2
Total, Maramures, April 2020, Percentage, 2.1
Total, Maramures, May 2020, Percentage, 2.1
Total, Maramures, June 2020, Percentage, 2.2
Total, Maramures, July 2020, Percentage, 2.6
Total, Maramures, August 2020, Percentage, 2.7
Total, Maramures, September 2020, Percentage, 2.5
Total, Maramures, October 2020, Percentage, 2.5
Total, Maramures, November 2020, Percentage, 2.5
Total, Maramures, December 2020, Percentage, 2.3
Total, Satu Mare, January 2019, Percentage, 2.7
Total, Satu Mare, February 2019, Percentage, 2.7
Total, Satu Mare, March 2019, Percentage, 2.6
Total, Satu Mare, April 2019, Percentage, 2.5
Total, Satu Mare, May 2019, Percentage, 2.4
Total, Satu Mare, June 2019, Percentage, 2.3
Total, Satu Mare, July 2019, Percentage, 2.3
Total, Satu Mare, August 2019, Percentage, 2.3
Total, Satu Mare, September 2019, Percentage, 2.3
Total, Satu Mare, October 2019, Percentage, 2.4
Total, Satu Mare, November 2019, Percentage, 2.4
Total, Satu Mare, December 2019, Percentage, 2.5
Total, Satu Mare, January 2020, Percentage, 2.5
Total, Satu Mare, February 2020, Percentage, 2.6
Total, Satu Mare, March 2020, Percentage, 2.6
Total, Satu Mare, April 2020, Percentage, 2.9
Total, Satu Mare, May 2020, Percentage, 3
Total, Satu Mare, June 2020, Percentage, 3.2
Total, Satu Mare, July 2020, Percentage, 3.3
Total, Satu Mare, August 2020, Percentage, 3.4
Total, Satu Mare, September 2020, Percentage, 3.6
Total, Satu Mare, October 2020, Percentage, 3.6
Total, Satu Mare, November 2020, Percentage, 3.7
Total, Satu Mare, December 2020, Percentage, 3.7
Total, Salaj, January 2019, Percentage, 4.6
Total, Salaj, February 2019, Percentage, 4.6
Total, Salaj, March 2019, Percentage, 4.6
Total, Salaj, April 2019, Percentage, 4.2
Total, Salaj, May 2019, Percentage, 4.1
Total, Salaj, June 2019, Percentage, 4
Total, Salaj, July 2019, Percentage, 4.3
Total, Salaj, August 2019, Percentage, 4.2
Total, Salaj, September 2019, Percentage, 4.1
Total, Salaj, October 2019, Percentage, 4.1
Total, Salaj, November 2019, Percentage, 4.2
Total, Salaj, December 2019, Percentage, 4.2
Total, Salaj, January 2020, Percentage, 4.2
Total, Salaj, February 2020, Percentage, 4.2
Total, Salaj, March 2020, Percentage, 4.1
Total, Salaj, April 2020, Percentage, 4.2
Total, Salaj, May 2020, Percentage, 4.3
Total, Salaj, June 2020, Percentage, 4.4
Total, Salaj, July 2020, Percentage, 4.9
Total, Salaj, August 2020, Percentage, 4.9
Total, Salaj, September 2020, Percentage, 5.1
Total, Salaj, October 2020, Percentage, 5.1
Total, Salaj, November 2020, Percentage, 5.1
Total, Salaj, December 2020, Percentage, 5.2
Total, CENTER, January 2019, Percentage, 2.9
Total, CENTER, February 2019, Percentage, 2.9
Total, CENTER, March 2019, Percentage, 2.7
Total, CENTER, April 2019, Percentage, 2.6
Total, CENTER, May 2019, Percentage, 2.5
Total, CENTER, June 2019, Percentage, 2.5
Total, CENTER, July 2019, Percentage, 2.5
Total, CENTER, August 2019, Percentage, 2.6
Total, CENTER, September 2019, Percentage, 2.5
Total, CENTER, October 2019, Percentage, 2.6
Total, CENTER, November 2019, Percentage, 2.6
Total, CENTER, December 2019, Percentage, 2.6
Total, CENTER, January 2020, Percentage, 2.6
Total, CENTER, February 2020, Percentage, 2.6
Total, CENTER, March 2020, Percentage, 2.5
Total, CENTER, April 2020, Percentage, 2.6
Total, CENTER, May 2020, Percentage, 2.6
Total, CENTER, June 2020, Percentage, 2.7
Total, CENTER, July 2020, Percentage, 3
Total, CENTER, August 2020, Percentage, 3.1
Total, CENTER, September 2020, Percentage, 3.2
Total, CENTER, October 2020, Percentage, 3.2
Total, CENTER, November 2020, Percentage, 3.3
Total, CENTER, December 2020, Percentage, 3.3
Total, Alba, January 2019, Percentage, 3.3
Total, Alba, February 2019, Percentage, 3.4
Total, Alba, March 2019, Percentage, 3.1
Total, Alba, April 2019, Percentage, 2.9
Total, Alba, May 2019, Percentage, 2.8
Total, Alba, June 2019, Percentage, 2.8
Total, Alba, July 2019, Percentage, 2.8
Total, Alba, August 2019, Percentage, 2.9
Total, Alba, September 2019, Percentage, 2.9
Total, Alba, October 2019, Percentage, 3
Total, Alba, November 2019, Percentage, 3.1
Total, Alba, December 2019, Percentage, 3.1
Total, Alba, January 2020, Percentage, 3.2
Total, Alba, February 2020, Percentage, 3.3
Total, Alba, March 2020, Percentage, 3.1
Total, Alba, April 2020, Percentage, 2.9
Total, Alba, May 2020, Percentage, 3.1
Total, Alba, June 2020, Percentage, 3.2
Total, Alba, July 2020, Percentage, 3.4
Total, Alba, August 2020, Percentage, 3.3
Total, Alba, September 2020, Percentage, 3.8
Total, Alba, October 2020, Percentage, 3.8
Total, Alba, November 2020, Percentage, 3.8
Total, Alba, December 2020, Percentage, 3.8
Total, Brasov, January 2019, Percentage, 2.3
Total, Brasov, February 2019, Percentage, 2.3
Total, Brasov, March 2019, Percentage, 2.2
Total, Brasov, April 2019, Percentage, 2.1
Total, Brasov, May 2019, Percentage, 2.1
Total, Brasov, June 2019, Percentage, 2.2
Total, Brasov, July 2019, Percentage, 2.2
Total, Brasov, August 2019, Percentage, 2.2
Total, Brasov, September 2019, Percentage, 2.2
Total, Brasov, October 2019, Percentage, 2.1
Total, Brasov, November 2019, Percentage, 2.1
Total, Brasov, December 2019, Percentage, 2
Total, Brasov, January 2020, Percentage, 2
Total, Brasov, February 2020, Percentage, 1.9
Total, Brasov, March 2020, Percentage, 1.9
Total, Brasov, April 2020, Percentage, 2.1
Total, Brasov, May 2020, Percentage, 2
Total, Brasov, June 2020, Percentage, 2.2
Total, Brasov, July 2020, Percentage, 2.4
Total, Brasov, August 2020, Percentage, 2.5
Total, Brasov, September 2020, Percentage, 2.6
Total, Brasov, October 2020, Percentage, 2.6
Total, Brasov, November 2020, Percentage, 2.7
Total, Brasov, December 2020, Percentage, 2.6
Total, Covasna, January 2019, Percentage, 3.7
Total, Covasna, February 2019, Percentage, 3.6
Total, Covasna, March 2019, Percentage, 3.5
Total, Covasna, April 2019, Percentage, 3.1
Total, Covasna, May 2019, Percentage, 3
Total, Covasna, June 2019, Percentage, 3.1
Total, Covasna, July 2019, Percentage, 3.2
Total, Covasna, August 2019, Percentage, 3.2
Total, Covasna, September 2019, Percentage, 3.3
Total, Covasna, October 2019, Percentage, 3.3
Total, Covasna, November 2019, Percentage, 3.3
Total, Covasna, December 2019, Percentage, 3.3
Total, Covasna, January 2020, Percentage, 3.1
Total, Covasna, February 2020, Percentage, 3.1
Total, Covasna, March 2020, Percentage, 3.1
Total, Covasna, April 2020, Percentage, 3.4
Total, Covasna, May 2020, Percentage, 3.7
Total, Covasna, June 2020, Percentage, 3.8
Total, Covasna, July 2020, Percentage, 4.5
Total, Covasna, August 2020, Percentage, 4.9
Total, Covasna, September 2020, Percentage, 5
Total, Covasna, October 2020, Percentage, 5.1
Total, Covasna, November 2020, Percentage, 5.2
Total, Covasna, December 2020, Percentage, 5.1
Total, Harghita, January 2019, Percentage, 4.2
Total, Harghita, February 2019, Percentage, 4.2
Total, Harghita, March 2019, Percentage, 4
Total, Harghita, April 2019, Percentage, 3.7
Total, Harghita, May 2019, Percentage, 3.6
Total, Harghita, June 2019, Percentage, 3.6
Total, Harghita, July 2019, Percentage, 3.7
Total, Harghita, August 2019, Percentage, 3.7
Total, Harghita, September 2019, Percentage, 3.6
Total, Harghita, October 2019, Percentage, 3.8
Total, Harghita, November 2019, Percentage, 3.8
Total, Harghita, December 2019, Percentage, 3.8
Total, Harghita, January 2020, Percentage, 3.8
Total, Harghita, February 2020, Percentage, 3.7
Total, Harghita, March 2020, Percentage, 3.6
Total, Harghita, April 2020, Percentage, 3.8
Total, Harghita, May 2020, Percentage, 3.7
Total, Harghita, June 2020, Percentage, 3.9
Total, Harghita, July 2020, Percentage, 4.2
Total, Harghita, August 2020, Percentage, 4.5
Total, Harghita, September 2020, Percentage, 4.1
Total, Harghita, October 2020, Percentage, 4.5
Total, Harghita, November 2020, Percentage, 4.8
Total, Harghita, December 2020, Percentage, 4.5
Total, Mures, January 2019, Percentage, 3
Total, Mures, February 2019, Percentage, 2.9
Total, Mures, March 2019, Percentage, 2.8
Total, Mures, April 2019, Percentage, 2.6
Total, Mures, May 2019, Percentage, 2.6
Total, Mures, June 2019, Percentage, 2.6
Total, Mures, July 2019, Percentage, 2.5
Total, Mures, August 2019, Percentage, 2.6
Total, Mures, September 2019, Percentage, 2.6
Total, Mures, October 2019, Percentage, 2.7
Total, Mures, November 2019, Percentage, 2.7
Total, Mures, December 2019, Percentage, 2.7
Total, Mures, January 2020, Percentage, 2.8
Total, Mures, February 2020, Percentage, 2.7
Total, Mures, March 2020, Percentage, 2.6
Total, Mures, April 2020, Percentage, 2.5
Total, Mures, May 2020, Percentage, 2.3
Total, Mures, June 2020, Percentage, 2.3
Total, Mures, July 2020, Percentage, 2.6
Total, Mures, August 2020, Percentage, 2.6
Total, Mures, September 2020, Percentage, 2.5
Total, Mures, October 2020, Percentage, 2.5
Total, Mures, November 2020, Percentage, 2.6
Total, Mures, December 2020, Percentage, 2.7
Total, Sibiu, January 2019, Percentage, 1.8
Total, Sibiu, February 2019, Percentage, 1.9
Total, Sibiu, March 2019, Percentage, 1.8
Total, Sibiu, April 2019, Percentage, 1.7
Total, Sibiu, May 2019, Percentage, 1.7
Total, Sibiu, June 2019, Percentage, 1.7
Total, Sibiu, July 2019, Percentage, 1.7
Total, Sibiu, August 2019, Percentage, 1.7
Total, Sibiu, September 2019, Percentage, 1.6
Total, Sibiu, October 2019, Percentage, 1.7
Total, Sibiu, November 2019, Percentage, 1.7
Total, Sibiu, December 2019, Percentage, 1.8
Total, Sibiu, January 2020, Percentage, 1.8
Total, Sibiu, February 2020, Percentage, 1.8
Total, Sibiu, March 2020, Percentage, 1.9
Total, Sibiu, April 2020, Percentage, 2.1
Total, Sibiu, May 2020, Percentage, 2.1
Total, Sibiu, June 2020, Percentage, 2.2
Total, Sibiu, July 2020, Percentage, 2.6
Total, Sibiu, August 2020, Percentage, 2.8
Total, Sibiu, September 2020, Percentage, 2.7
Total, Sibiu, October 2020, Percentage, 2.6
Total, Sibiu, November 2020, Percentage, 2.6
Total, Sibiu, December 2020, Percentage, 2.8
Total, MACROREGION 2, January 2019, Percentage, 4.8
Total, MACROREGION 2, February 2019, Percentage, 4.8
Total, MACROREGION 2, March 2019, Percentage, 4.6
Total, MACROREGION 2, April 2019, Percentage, 4.3
Total, MACROREGION 2, May 2019, Percentage, 4.1
Total, MACROREGION 2, June 2019, Percentage, 4.2
Total, MACROREGION 2, July 2019, Percentage, 4.3
Total, MACROREGION 2, August 2019, Percentage, 4.3
Total, MACROREGION 2, September 2019, Percentage, 4.3
Total, MACROREGION 2, October 2019, Percentage, 4.2
Total, MACROREGION 2, November 2019, Percentage, 4.2
Total, MACROREGION 2, December 2019, Percentage, 4.2
Total, MACROREGION 2, January 2020, Percentage, 4.2
Total, MACROREGION 2, February 2020, Percentage, 4.2
Total, MACROREGION 2, March 2020, Percentage, 4.1
Total, MACROREGION 2, April 2020, Percentage, 4
Total, MACROREGION 2, May 2020, Percentage, 3.9
Total, MACROREGION 2, June 2020, Percentage, 4
Total, MACROREGION 2, July 2020, Percentage, 4.3
Total, MACROREGION 2, August 2020, Percentage, 4.4
Total, MACROREGION 2, September 2020, Percentage, 4.4
Total, MACROREGION 2, October 2020, Percentage, 4.4
Total, MACROREGION 2, November 2020, Percentage, 4.5
Total, MACROREGION 2, December 2020, Percentage, 4.7
Total, NORTH - EAST, January 2019, Percentage, 4.9
Total, NORTH - EAST, February 2019, Percentage, 4.8
Total, NORTH - EAST, March 2019, Percentage, 4.6
Total, NORTH - EAST, April 2019, Percentage, 4.4
Total, NORTH - EAST, May 2019, Percentage, 4.2
Total, NORTH - EAST, June 2019, Percentage, 4.3
Total, NORTH - EAST, July 2019, Percentage, 4.4
Total, NORTH - EAST, August 2019, Percentage, 4.4
Total, NORTH - EAST, September 2019, Percentage, 4.4
Total, NORTH - EAST, October 2019, Percentage, 4.3
Total, NORTH - EAST, November 2019, Percentage, 4.3
Total, NORTH - EAST, December 2019, Percentage, 4.3
Total, NORTH - EAST, January 2020, Percentage, 4.3
Total, NORTH - EAST, February 2020, Percentage, 4.3
Total, NORTH - EAST, March 2020, Percentage, 4.1
Total, NORTH - EAST, April 2020, Percentage, 4
Total, NORTH - EAST, May 2020, Percentage, 3.8
Total, NORTH - EAST, June 2020, Percentage, 3.9
Total, NORTH - EAST, July 2020, Percentage, 4.3
Total, NORTH - EAST, August 2020, Percentage, 4.4
Total, NORTH - EAST, September 2020, Percentage, 4.4
Total, NORTH - EAST, October 2020, Percentage, 4.4
Total, NORTH - EAST, November 2020, Percentage, 4.4
Total, NORTH - EAST, December 2020, Percentage, 4.7
Total, Bacau, January 2019, Percentage, 5.9
Total, Bacau, February 2019, Percentage, 5.9
Total, Bacau, March 2019, Percentage, 5.7
Total, Bacau, April 2019, Percentage, 5.4
Total, Bacau, May 2019, Percentage, 5.1
Total, Bacau, June 2019, Percentage, 5.1
Total, Bacau, July 2019, Percentage, 5.2
Total, Bacau, August 2019, Percentage, 5.1
Total, Bacau, September 2019, Percentage, 5.2
