"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
Total,"Age, total",All Denmark,3.9,3.9,3.8,3.4,3.4,3.4,3.4,3.5,3.4,3.5,3.6,3.7,,3.58
,,Region Hovedstaden,3.9,3.9,3.8,3.5,3.5,3.6,3.5,3.7,3.6,3.6,3.6,3.7,,3.66
,,Province Byen København,4.2,4.3,4.2,3.9,3.9,4.1,4.2,4.3,4.1,4.1,4.1,4.1,,4.13
,,Copenhagen,4.4,4.4,4.4,4,4.1,4.2,4.4,4.5,4.3,4.3,4.3,4.2,,4.29
,,Frederiksberg,3.9,3.8,3.7,3.4,3.4,3.7,3.8,3.9,3.7,3.7,3.6,3.6,,3.68
,,Dragør,2.7,2.6,2.6,2.4,2.7,2.7,2.4,2.5,2.4,2.5,2.5,2.6,,2.55
,,Tårnby,3.4,3.3,3.3,3,3,3,2.9,2.9,2.9,2.9,3,3,,3.05
,,Province Københavns omegn,3.9,3.9,3.9,3.5,3.6,3.7,3.3,3.5,3.6,3.6,3.6,3.6,,3.64
,,Albertslund,5.4,5.4,5.1,4.8,4.9,5,4.2,4.6,4.8,4.8,4.7,4.7,,4.87
,,Ballerup,3.5,3.5,3.5,3.2,3.3,3.3,2.9,3.2,3.3,3.2,3.3,3.3,,3.29
,,Brøndby,5.9,6,6.1,5.5,5.5,5.5,4.9,5.4,5.5,5.5,5.6,5.8,,5.60
,,Gentofte,3,3,3,2.7,2.8,2.9,2.7,2.8,2.8,2.8,2.8,2.8,,2.84
,,Gladsaxe,3.5,3.6,3.5,3.2,3.3,3.2,2.9,3,3.1,3.1,3,3.1,,3.21
,,Glostrup,4,3.9,3.9,3.6,3.7,3.7,3.5,3.6,3.7,3.8,3.7,3.7,,3.73
,,Herlev,3.2,3.2,3.2,2.9,3,2.9,2.5,2.6,2.6,2.6,2.6,2.7,,2.83
,,Hvidovre,3.5,3.5,3.4,3.2,3.3,3.4,3.3,3.4,3.4,3.3,3.3,3.4,,3.37
,,Høje-Taastrup,4.5,4.6,4.5,4.2,4.2,4.3,3.7,4,4.1,4.2,4.4,4.4,,4.26
,,Ishøj,6.2,6.3,6.2,5.7,5.6,5.7,4.8,5.4,5.5,5.5,5.5,5.7,,5.68
,,Lyngby-Taarbæk,2.8,2.8,2.8,2.5,2.5,2.5,2.5,2.7,2.6,2.6,2.6,2.6,,2.63
,,Rødovre,4.4,4.5,4.4,4.1,4.2,4.3,4,4.1,4.2,4.1,4.3,4.1,,4.23
,,Vallensbæk,3.4,3.4,3.4,2.9,3.2,3.2,2.7,3,3.1,3.1,3.2,3.2,,3.15
,,Province Nordsjælland,2.9,2.9,2.9,2.6,2.7,2.7,2.4,2.6,2.6,2.6,2.6,2.8,,2.69
,,Allerød,1.9,2,2.1,1.9,1.9,1.9,1.8,1.9,2,2.1,2.1,2.2,,1.98
,,Egedal,2.7,2.8,2.7,2.5,2.6,2.6,2.4,2.4,2.4,2.5,2.5,2.6,,2.56
,,Fredensborg,3.1,3.1,3,2.6,2.6,2.6,2.4,2.8,2.7,2.6,2.4,2.7,,2.72
,,Frederikssund,2.9,2.9,2.9,2.6,2.6,2.7,2.4,2.6,2.6,2.6,2.7,2.9,,2.70
,,Furesø,2.6,2.6,2.6,2.4,2.5,2.4,2.1,2.2,2.3,2.4,2.4,2.5,,2.42
,,Gribskov,2.8,2.9,2.8,2.5,2.5,2.5,2.2,2.4,2.4,2.4,2.7,2.8,,2.58
,,Halsnæs,3.7,3.5,3.4,3.2,3.1,3,2.8,2.9,2.9,3,3,3.2,,3.14
,,Helsingør,3.9,3.9,3.8,3.6,3.7,3.6,3.3,3.5,3.5,3.5,3.5,3.7,,3.63
,,Hillerød,2.7,2.8,2.6,2.4,2.5,2.5,2.3,2.3,2.3,2.3,2.2,2.4,,2.44
,,Hørsholm,2.8,2.7,2.6,2.4,2.4,2.5,2.2,2.5,2.3,2.3,2.3,2.4,,2.45
,,Rudersdal,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.5,2.5,2.6,2.5,2.6,,2.48
,,Province Bornholm,5.8,5.4,4.9,3.5,2.8,2.5,2.4,2.5,2.9,3.6,4.5,4.9,,3.81
,,Bornholm,5.8,5.4,4.9,3.5,2.8,2.5,2.4,2.5,2.9,3.6,4.5,4.9,,3.81
,,Region Sjælland,3.9,3.9,3.7,3.4,3.3,3.3,3.1,3.2,3.2,3.3,3.4,3.5,,3.43
,,Province Østsjælland,3,3,2.9,2.7,2.8,2.8,2.6,2.7,2.7,2.8,2.9,2.9,,2.82
,,Greve,2.8,2.9,2.9,2.8,2.9,2.9,2.6,2.6,2.8,2.8,2.9,2.9,,2.82
,,Køge,3.4,3.4,3.3,3,3,3,2.8,2.9,2.9,3.1,3.1,3.3,,3.10
,,Lejre,2.5,2.4,2.4,2.3,2.3,2.4,2.3,2.5,2.5,2.5,2.5,2.6,,2.43
,,Roskilde,3.1,3.1,3.1,2.9,2.9,2.9,2.8,2.9,2.8,2.9,2.9,2.8,,2.93
,,Solrød,2.2,2.2,2.2,2.1,2,1.9,1.9,2.1,2.2,2.4,2.5,2.6,,2.19
,,Province Vest- og Sydsjælland,4.3,4.3,4.1,3.7,3.6,3.6,3.3,3.4,3.4,3.5,3.6,3.8,,3.72
,,Faxe,4,4,3.7,3.3,3.3,3.1,2.9,3.2,3.2,3.4,3.3,3.4,,3.40
,,Guldborgsund,4.9,4.9,4.8,4.2,4.1,4,3.7,3.8,3.9,4,4.1,4.3,,4.23
,,Holbæk,3.3,3.4,3.2,2.9,3,2.9,2.6,2.7,2.7,2.8,2.8,2.9,,2.93
,,Kalundborg,4.1,4.1,3.8,3.4,3.4,3.3,3,3.1,3.2,3.4,3.4,3.6,,3.48
,,Lolland,5.4,5.6,5.3,4.7,4.5,4.3,4,4,4.2,4.5,4.7,5,,4.68
,,Næstved,4.3,4.2,4,3.5,3.5,3.5,3.3,3.4,3.4,3.5,3.5,3.8,,3.66
,,Odsherred,4.8,4.8,4.5,4.1,3.9,4,3.6,3.7,3.5,3.5,3.9,3.9,,4.02
,,Ringsted,3.6,3.6,3.5,3,3.1,3,2.7,3.1,2.9,2.9,3,3.1,,3.13
,,Slagelse,4.5,4.5,4.3,4,3.8,3.8,3.7,3.7,3.7,3.9,3.9,4.2,,4.00
,,Sorø,3.8,3.9,3.9,3.5,3.5,3.3,3,3,3.2,3.2,3.3,3.5,,3.43
,,Stevns,3.7,3.8,3.8,3.4,3.3,3.2,3.1,3.1,3.1,3,3,3.2,,3.31
,,Vordingborg,5.2,5.3,5,4.5,4.3,4.3,3.9,4,3.9,4.1,4.2,4.4,,4.43
,,Region Syddanmark,3.9,3.9,3.7,3.3,3.3,3.3,3.2,3.4,3.4,3.5,3.6,3.7,,3.52
,,Province Fyn,4.4,4.4,4.2,3.8,3.7,3.8,3.8,4,3.9,4,4.1,4.2,,4.03
,,Assens,3.9,3.9,3.8,3.2,3.2,3.1,3,3.3,3.3,3.4,3.5,3.9,,3.46
,,Faaborg-Midtfyn,4.2,4.2,3.9,3.4,3.4,3.2,3,3.2,3.2,3.3,3.6,3.9,,3.54
,,Kerteminde,4.2,4.3,4.2,3.7,3.6,3.4,2.9,3.4,3.3,3.4,3.8,4.1,,3.69
,,Langeland,5.6,5.4,4.9,4,3.5,3.6,3.5,3.8,3.9,4.3,4.8,5.5,,4.40
,,Middelfart,3.1,3.2,3,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.8,2.8,,2.75
,,Nordfyns,4.6,4.6,4.4,3.7,3.6,3.7,3.6,3.8,3.9,4.1,4.1,4.4,,4.04
,,Nyborg,4.2,4.1,3.9,3.4,3.4,3.3,3,3.4,3.5,3.7,3.8,4.1,,3.65
,,Odense,4.8,4.9,4.6,4.2,4.2,4.5,4.8,4.9,4.6,4.6,4.6,4.5,,4.60
,,Svendborg,4.4,4.3,4.2,3.8,3.8,3.9,3.6,3.9,3.8,3.8,4.1,4.5,,4.01
,,Ærø,5.3,4.6,4.3,3.8,3.4,3.6,2.8,3.3,3.2,3.8,4.7,4.5,,3.94
,,Province Sydjylland,3.6,3.5,3.4,3,3,3,2.8,3,3,3.1,3.3,3.4,,3.18
,,Billund,2.8,2.8,2.6,2.1,2.1,2,1.9,1.9,2.1,2.4,2.7,2.9,,2.36
,,Esbjerg,3.8,3.8,3.5,3.1,3,3,3,3.1,3,3.1,3.2,3.4,,3.25
,,Fanø,5.1,4.9,4,3.5,3.9,3.5,3.4,3.9,3.6,3.6,4.2,4.6,,4.02
,,Fredericia,4.3,4.3,4.4,4,4,4,3.8,3.9,3.9,4.1,4.1,4.3,,4.09
,,Haderslev,3.8,3.8,3.6,3.2,3.3,3.1,3.1,3.1,3.1,3.4,3.5,3.7,,3.39
,,Kolding,3.4,3.6,3.6,3.2,3.2,3.1,3.1,3.3,3.2,3.2,3.3,3.4,,3.30
,,Sønderborg,3.8,3.7,3.5,3.1,3.2,3.3,3.1,3.3,3.3,3.5,3.6,3.7,,3.43
,,Tønder,3.9,3.7,3.5,2.9,3.1,2.8,2.5,2.8,2.9,3,3.4,3.8,,3.19
,,Varde,3.2,3.1,2.7,2.3,2.1,2.1,2,2.2,2.2,2.4,2.6,2.7,,2.47
,,Vejen,2.9,2.9,2.6,2.3,2.4,2.5,2.3,2.4,2.6,2.6,2.6,2.8,,2.58
,,Vejle,3.3,3.2,3.1,2.7,2.8,2.8,2.6,2.8,2.8,3,3.1,3.2,,2.95
,,Aabenraa,3.7,3.6,3.5,3.1,3.1,3.2,2.9,3.1,3.3,3.4,3.5,3.5,,3.33
,,Region Midtjylland,3.6,3.7,3.5,3.1,3.1,3.2,3.2,3.4,3.3,3.3,3.3,3.4,,3.34
,,Province Østjylland,3.8,3.8,3.7,3.3,3.4,3.4,3.6,3.7,3.5,3.5,3.5,3.6,,3.57
,,Favrskov,2.6,2.7,2.6,2.2,2.2,2.3,2.1,2.3,2.2,2.3,2.3,2.5,,2.36
,,Hedensted,2.7,2.7,2.5,2.3,2.3,2.2,2,2.2,2.2,2.3,2.5,2.6,,2.38
,,Horsens,3.4,3.4,3.4,3.1,3.1,3.1,2.9,3.2,3.2,3.4,3.5,3.6,,3.28
,,Norddjurs,5,5,4.7,4.2,4.1,4,3.9,4,3.8,3.8,3.9,4,,4.20
,,Odder,3.2,3.1,3.1,2.6,2.7,2.5,2.4,2.6,2.5,2.6,2.7,2.9,,2.74
,,Randers,4,4.2,4,3.6,3.5,3.5,3.4,3.6,3.5,3.6,3.7,3.8,,3.70
,,Samsø,6.9,7.2,6.2,4.6,4.1,2.8,2.6,2.7,3.3,4.4,5.4,5.5,,4.64
,,Silkeborg,3.3,3.3,3.1,2.7,2.8,2.8,2.7,3,2.9,3,3,3.2,,2.98
,,Skanderborg,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.5,,2.23
,,Syddjurs,3.5,3.5,3.4,2.9,3,2.9,2.7,3.1,3.2,3.1,3.1,3.2,,3.13
,,Aarhus,4.4,4.5,4.4,4,4,4.3,4.8,4.8,4.4,4.3,4.2,4.2,,4.36
,,Province Vestjylland,3.2,3.3,3.1,2.8,2.7,2.7,2.5,2.7,2.7,2.8,2.9,3,,2.87
,,Herning,3.5,3.5,3.3,3,3,3.1,2.9,3.1,3,3.1,3.2,3.3,,3.17
,,Holstebro,2.8,2.9,2.8,2.5,2.4,2.3,2.1,2.4,2.4,2.4,2.6,2.8,,2.53
,,Ikast-Brande,3.6,3.6,3.4,3.1,2.9,2.9,2.6,2.9,2.9,3,3.2,3.3,,3.12
,,Lemvig,3.3,3.3,3.1,2.5,2.4,2.2,2.1,2.3,2.4,2.4,2.5,2.9,,2.62
,,Ringkøbing-Skjern,3,2.8,2.7,2.4,2.3,2.2,2,2.3,2.4,2.4,2.6,2.8,,2.49
,,Skive,3,2.9,2.7,2.3,2.2,2.3,2.4,2.4,2.3,2.3,2.4,2.4,,2.47
,,Struer,3.9,4.2,4.2,3.7,3.5,3.4,3.2,3.2,3.3,3.5,3.6,3.6,,3.61
,,Viborg,3.2,3.3,3.2,2.8,2.8,2.8,2.7,3,2.9,3,3,3.1,,2.98
,,Region Nordjylland,4.6,4.6,4.3,3.7,3.7,3.7,3.8,3.9,3.8,3.9,4,4.3,,4.03
,,Province Nordjylland,4.6,4.6,4.3,3.7,3.7,3.7,3.8,3.9,3.8,3.9,4,4.3,,4.03
,,Brønderslev,4.3,4.3,3.9,3.4,3.2,3.2,3,3.3,3.3,3.5,3.6,4,,3.58
,,Frederikshavn,4.9,5.1,4.6,4,3.9,3.5,3.2,3.5,3.6,3.8,4,4.4,,4.04
,,Hjørring,4.6,4.5,4.2,3.6,3.5,3.4,3.3,3.5,3.4,3.6,3.8,4.3,,3.81
,,Jammerbugt,4,3.8,3.4,2.8,2.9,2.8,2.5,2.7,2.8,3.1,3.3,3.7,,3.15
,,Læsø,9.8,9.2,7.5,4.1,3.3,2.7,1.8,2.8,3.4,4.2,6.4,8.3,,5.29
,,Mariagerfjord,4.3,4.4,4.1,3.6,3.6,3.5,3.1,3.2,3.2,3.4,3.6,3.9,,3.66
,,Morsø,3.8,3.8,3.4,2.8,2.6,2.7,2.2,2.5,2.8,2.7,2.9,3.3,,2.96
,,Rebild,3.3,3.4,3.3,2.7,2.7,2.6,2.5,2.9,2.8,2.9,3,3.3,,2.95
,,Thisted,3.7,3.8,3.5,3,2.8,2.7,2.5,2.8,3,3.1,3.3,3.5,,3.14
,,Vesthimmerlands,4.4,4.4,4.1,3.6,3.5,3.5,3.2,3.7,3.7,3.8,3.9,4.1,,3.83
,,Aalborg,5,5.1,4.8,4.3,4.3,4.5,5.1,5.2,4.8,4.8,4.8,4.8,,4.79
,,Unknown municipality,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
