2.1 Taux de chômage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Canton,Mois,Janvier 2019,Février 2019,Mars 2019,Avril 2019,Mai 2019,Juin 2019,Juillet 2019,Août 2019,Septembre 2019,Octobre 2019,Novembre 2019,Décembre 2019,,
,Mesures,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,,
Zurich,,2.4,2.4,2.2,2.1,2,2,2,2,2,2,2.1,2.3,,2.13
Berne,,2.1,2,1.9,1.8,1.7,1.6,1.6,1.7,1.6,1.7,1.8,1.9,,1.78
Lucerne,,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.5,1.5,1.5,1.6,1.7,,1.63
Uri,,1.3,1.3,1.2,1.1,1,0.9,0.9,0.9,0.9,1,1.2,1.2,,1.08
Schwyz,,1.3,1.3,1.2,1.1,1.1,1,1,1,1,1,1.1,1.2,,1.11
Obwald,,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.8,0.8,,0.72
Nidwald,,1.1,0.9,0.9,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.9,1,,0.83
Glaris,,1.7,1.5,1.5,1.4,1.4,1.3,1.2,1.2,1.3,1.2,1.3,1.5,,1.38
Zoug,,2.2,2.2,2.1,1.9,1.9,1.8,1.9,1.9,1.8,1.8,1.9,2,,1.95
Fribourg,,2.9,2.8,2.6,2.4,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.8,,2.47
Soleure,,2.1,2.1,2,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,2.1,,1.87
Bâle-Ville,,3.4,3.3,3.2,3.1,2.9,2.8,2.8,2.8,2.7,2.7,2.9,3.1,,2.98
Bâle-Campagne,,2.1,2,2,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.8,2,,1.86
Schaffhouse,,3.5,3.4,3,2.9,2.7,2.7,2.6,2.6,2.6,2.6,2.9,3.1,,2.88
Appenzell Rhodes-Extérieures,,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,,1.58
Appenzell Rhodes-Intérieures,,1.2,1.2,1.2,1.1,1.1,1,0.9,1.1,1,0.9,1.1,1.2,,1.08
St-Gall,,2.1,2,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.8,2,,1.83
Grisons,,1.5,1.3,1,1.5,1.3,0.8,0.7,0.7,0.8,1.3,1.4,1.5,,1.15
Argovie,,2.7,2.7,2.5,2.4,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.7,,2.46
Thurgovie,,2.2,2.2,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.9,2.1,,1.89
Tessin,,3.4,3.3,2.9,2.7,2.5,2.4,2.4,2.5,2.5,2.6,3,3.3,,2.79
Vaud,,3.9,3.8,3.5,3.4,3.1,3.1,3.2,3.3,3.3,3.3,3.3,3.6,,3.40
Valais,,4,3.4,2.9,2.7,2.4,2.1,2.1,2.2,2.1,2.3,2.7,3.8,,2.73
Neuchâtel,,4.2,4.1,3.8,3.5,3.3,3.1,3.1,3.2,3.3,3.3,3.5,3.7,,3.51
Genève,,4.3,4.2,4.2,4.1,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.9,,3.94
Jura,,3.7,3.6,3.3,3.2,3.1,3.1,3.2,3.4,3.3,3.6,3.7,4,,3.43
Total,,2.7,2.6,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.2,2.3,2.5,,2.30
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Janvier 2020,Février 2020,Mars 2020,Avril 2020,Mai 2020,Juin 2020,Juillet 2020,Août 2020,Septembre 2020,Octobre 2020,Novembre 2020,Décembre 2020,,
,,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,Taux de chômage,,
Zurich,,2.4,2.3,2.8,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.5,,3.05
Berne,,2,2,2.2,2.5,2.6,2.5,2.5,2.6,2.6,2.6,2.7,2.8,,2.47
Lucerne,,1.8,1.7,2,2.3,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.5,,2.23
Uri,,1.3,1.2,1.4,1.8,1.8,1.4,1.3,1.2,1.3,1.3,1.4,1.6,,1.42
Schwyz,,1.3,1.2,1.4,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.5,1.7,,1.50
Obwald,,0.9,0.7,1.1,1.4,1.5,1.3,1.2,1.3,1.3,1.3,1.4,1.4,,1.23
Nidwald,,1,0.9,1.4,1.6,1.6,1.5,1.3,1.4,1.4,1.5,1.7,1.7,,1.42
Glaris,,1.6,1.5,1.7,2.1,2.3,2.2,2.1,2.2,2.1,2.1,2.3,2.4,,2.05
Zoug,,2,2,2.3,2.5,2.7,2.6,2.6,2.7,2.6,2.7,2.8,2.9,,2.53
Fribourg,,2.9,2.8,3.1,3.4,3.4,3.3,3.4,3.5,3.4,3.4,3.5,3.8,,3.33
Soleure,,2.3,2.3,2.6,2.9,3,2.9,2.9,3.1,3,3,3,3.3,,2.86
Bâle-Ville,,3.2,3.2,3.5,3.8,4,4,4.1,4,3.9,3.9,4,4.3,,3.83
Bâle-Campagne,,2,1.9,2.2,2.6,2.7,2.7,2.6,2.6,2.5,2.5,2.6,2.8,,2.48
Schaffhouse,,3.3,3.2,3.5,3.6,3.7,3.6,3.6,3.8,3.7,3.7,3.8,4,,3.63
Appenzell Rhodes-Extérieures,,1.7,1.8,2,2.2,2.2,2.2,2.1,2.2,2.1,2.1,2.1,2.1,,2.07
Appenzell Rhodes-Intérieures,,1.2,1.2,1.3,1.3,1.2,1.2,1,1.1,1,0.9,0.8,0.9,,1.09
St-Gall,,2.1,2.1,2.4,2.7,2.8,2.6,2.6,2.7,2.6,2.6,2.6,2.8,,2.55
Grisons,,1.3,1.2,2,3.4,3.3,2.2,1.5,1.3,1.3,1.8,2.1,1.9,,1.94
Argovie,,2.8,2.7,3,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.8,,3.38
Thurgovie,,2.3,2.2,2.4,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.8,,2.53
Tessin,,3.5,3.4,3.6,4,3.9,3.6,3.4,3.4,3.3,3.3,3.6,3.8,,3.57
Vaud,,3.8,3.7,4.4,4.9,4.9,4.6,4.6,4.7,4.6,4.5,4.6,4.9,,4.52
Valais,,3.6,3.2,3.7,4.5,4.4,3.8,3.4,3.3,3.1,3.3,3.7,4.7,,3.73
Neuchâtel,,3.9,3.9,4.1,4.5,4.7,4.6,4.9,4.9,4.9,4.8,4.8,5,,4.58
Genève,,3.9,3.9,4.5,5,5.2,5,5.1,5.2,5.2,5.2,5.3,5.4,,4.91
Jura,,3.9,3.9,4.1,4.4,4.4,4.6,5,5.1,5,5.2,5.4,5.6,,4.72
Total,,2.6,2.5,2.9,3.3,3.4,3.2,3.2,3.3,3.2,3.2,3.3,3.5,,3.13
